Sr,Developers,Total Projects,Ongoing Projects
1694,Kishor Developers,8 Total Projects,1 Ongoing Projects
1695,Anand Properties,4 Total Projects, Ongoing Projects
1696,Ram India,19 Total Projects,4 Ongoing Projects
1697,Pratham Builders Pune,3 Total Projects, Ongoing Projects
1698,Vishwa Vinayak,6 Total Projects, Ongoing Projects
1699,Shroff,15 Total Projects, Ongoing Projects
1700,Tejas Estate,4 Total Projects,1 Ongoing Projects
1701,Goodwill Developers,14 Total Projects,2 Ongoing Projects
1702,Samrat Spaces,5 Total Projects, Ongoing Projects
1703,Omega Promoters,9 Total Projects, Ongoing Projects
1704,Arun Sane,6 Total Projects, Ongoing Projects
1705,Jadhav Deore,4 Total Projects, Ongoing Projects
1706,Reputed Builder,3714 Total Projects,2808 Ongoing Projects
1707,LS Mehetre,6 Total Projects,1 Ongoing Projects
1708,Royal,8 Total Projects, Ongoing Projects
1709,Mind Space,8 Total Projects,2 Ongoing Projects
1710,Shree Manibhadra,6 Total Projects,1 Ongoing Projects
1711,Pentagon,2 Total Projects, Ongoing Projects
1712,Vardhman,5 Total Projects, Ongoing Projects
1713,Bhatia Builders,5 Total Projects, Ongoing Projects
1714,The Shiv Builders,7 Total Projects, Ongoing Projects
1715,Subhash Builders,3 Total Projects, Ongoing Projects
1716,The Construction,27 Total Projects,7 Ongoing Projects
1717,Atul Enterprises,28 Total Projects,4 Ongoing Projects
1718,Vikas Construction,6 Total Projects, Ongoing Projects
1719,PS Developers,6 Total Projects,1 Ongoing Projects
1720,Jhala,10 Total Projects,3 Ongoing Projects
1721,Sancheti Associates,19 Total Projects,4 Ongoing Projects
1722,Aditya Construction,32 Total Projects,2 Ongoing Projects
1723,Aditya Builders Pune,28 Total Projects,4 Ongoing Projects
1724,Parmar Group,5 Total Projects,1 Ongoing Projects
1725,Sairung,25 Total Projects,1 Ongoing Projects
1726,Atul Builders,2 Total Projects, Ongoing Projects
1727,Satyaraj,6 Total Projects, Ongoing Projects
1728,Gajanan,2 Total Projects, Ongoing Projects
1729,Shreeraj Realtors,1 Total Projects, Ongoing Projects
1730,Townscape,12 Total Projects,1 Ongoing Projects
1731,Grafikon Realty,4 Total Projects, Ongoing Projects
1732,Sumit Developers, Total Projects, Ongoing Projects
1733,SBM Properties,3 Total Projects,1 Ongoing Projects
1734,Karan Group,19 Total Projects, Ongoing Projects
1735,Atul Projects India,26 Total Projects,4 Ongoing Projects
1736,Deron Properties,3 Total Projects, Ongoing Projects
1737,Bala Sai Associates,1 Total Projects,1 Ongoing Projects
1738,KNK Properties and Porwal Realtors and Oracle Cons, Total Projects, Ongoing Projects
1739,Kulshree Associates,3 Total Projects,1 Ongoing Projects
1740,Shrikant Construction, Total Projects,1 Ongoing Projects
1741,Guru Samarth Developers, Total Projects,1 Ongoing Projects
1742,Harikrupa Builders Pune,3 Total Projects,1 Ongoing Projects
1743,Gabdule Developers,1 Total Projects,1 Ongoing Projects
1744,GSK Developers,1 Total Projects, Ongoing Projects
1745,Shree Bhavani Developers,1 Total Projects,1 Ongoing Projects
1746,Sable Associates,1 Total Projects, Ongoing Projects
1747,Wazarkar Enterprises,2 Total Projects,1 Ongoing Projects
1748,Nandini Group Promoters And Builders,1 Total Projects, Ongoing Projects
1749,Laxman Takkekar Enterprises,2 Total Projects, Ongoing Projects
1750,Rajadhiraj Developers,1 Total Projects, Ongoing Projects
1751,Om Sairam Builders, Total Projects, Ongoing Projects
1752,Cello Mihir Bakre Properties,1 Total Projects, Ongoing Projects
1753,Kshitij,4 Total Projects,1 Ongoing Projects
1754,DNK Developers, Total Projects, Ongoing Projects
1755,Welworth Realty,16 Total Projects,1 Ongoing Projects
1756,Pritam Properties, Total Projects, Ongoing Projects
1757,Shyama Builders,11 Total Projects, Ongoing Projects
1758,Siddhi Developer,1 Total Projects, Ongoing Projects
1759,Today,19 Total Projects,2 Ongoing Projects
1760,Mantri,20 Total Projects,1 Ongoing Projects
1761,Shree Laxmi,2 Total Projects, Ongoing Projects
1762,Shree Mahalaxmi Developers,25 Total Projects,12 Ongoing Projects
1763,Venus Developers,3 Total Projects,1 Ongoing Projects
1764,Purple Properties,5 Total Projects, Ongoing Projects
1765,Amey Construction,1 Total Projects,1 Ongoing Projects
1766,Horizon Shelters,3 Total Projects, Ongoing Projects
1767,Estado Properties,1 Total Projects, Ongoing Projects
1768,Viijcon,1 Total Projects, Ongoing Projects
1769,Aditi Projects,3 Total Projects, Ongoing Projects
1770,Kothari Tingre,3 Total Projects, Ongoing Projects
1771,Sahara,7 Total Projects, Ongoing Projects
1772,Sai Constructions And Builders,5 Total Projects, Ongoing Projects
1773,Real Buildcon,1 Total Projects, Ongoing Projects
1774,Panama Group,4 Total Projects,2 Ongoing Projects
1775,Xrbia North Hinjewadi Developers,53 Total Projects,25 Ongoing Projects
1776,Shree Lakhmi Developers,3 Total Projects, Ongoing Projects
1777,Shree Sai Group,15 Total Projects,3 Ongoing Projects
1778,Aaiji Group,5 Total Projects,3 Ongoing Projects
1779,Sai Associates,10 Total Projects, Ongoing Projects
1780,ABC Properties,15 Total Projects,1 Ongoing Projects
1781,Gokhale Patwardham,1 Total Projects, Ongoing Projects
1782,Sarthak Builders,5 Total Projects,1 Ongoing Projects
1783,Satyam Developers Mumbai,26 Total Projects,9 Ongoing Projects
1784,Sankalp Construction,1 Total Projects, Ongoing Projects
1785,Rohan Construction,11 Total Projects,3 Ongoing Projects
1786,Rane,3 Total Projects, Ongoing Projects
1787,Kishor Naik,1 Total Projects, Ongoing Projects
1788,Soul Space,3 Total Projects, Ongoing Projects
1789,Jagtap,1 Total Projects, Ongoing Projects
1790,Saarvi Group,6 Total Projects, Ongoing Projects
1791,Nanak Properties,2 Total Projects, Ongoing Projects
1792,Kharde Patil Engineers,7 Total Projects, Ongoing Projects
1793,Shah Bafna Associates,1 Total Projects, Ongoing Projects
1794,WS Developers,5 Total Projects, Ongoing Projects
1795,Deore Developers,1 Total Projects, Ongoing Projects
1796,Simran Constructions,3 Total Projects, Ongoing Projects
1797,Samruddhi Developers,3 Total Projects, Ongoing Projects
1798,Gaikward,1 Total Projects, Ongoing Projects
1799,Sai Prasad Group,2 Total Projects, Ongoing Projects
1800,Lakhani Builders Pvt Ltd,25 Total Projects,9 Ongoing Projects
1801,Sobha Builders,2 Total Projects, Ongoing Projects
1802,Anandtara Construction,14 Total Projects,3 Ongoing Projects
1803,Choulwar Builders,5 Total Projects, Ongoing Projects
1804,Gandhi Properties,3 Total Projects, Ongoing Projects
1805,Sanskruti Infrastructure,2 Total Projects,1 Ongoing Projects
1806,Builders Combine,5 Total Projects, Ongoing Projects
1807,Madhuban Builders,9 Total Projects, Ongoing Projects
1808,Parge Builders,2 Total Projects, Ongoing Projects
1809,Creative Shelters,2 Total Projects, Ongoing Projects
1810,Tejas Constructions,6 Total Projects, Ongoing Projects
1811,Siddharth Constructions,6 Total Projects,1 Ongoing Projects
1812,BK Pate Enterprises,3 Total Projects, Ongoing Projects
1813,Arya Developers,4 Total Projects, Ongoing Projects
1814,Pate Developers,48 Total Projects,17 Ongoing Projects
1815,Riddhi Siddhi Developers P Ltd,6 Total Projects,1 Ongoing Projects
1816,Tirupati Landscape,1 Total Projects, Ongoing Projects
1817,Vikram Developers Pune,10 Total Projects,3 Ongoing Projects
1818,Cornerstone,3 Total Projects, Ongoing Projects
1819,Galaxy Group,33 Total Projects,6 Ongoing Projects
1820,Eiffel Developers,8 Total Projects,4 Ongoing Projects
1821,Sunrise Builders,6 Total Projects,2 Ongoing Projects
1822,Veracity,3 Total Projects, Ongoing Projects
1823,Shambhu Properties,2 Total Projects, Ongoing Projects
1824,Makwana Shah,14 Total Projects, Ongoing Projects
1825,Sneha,3 Total Projects, Ongoing Projects
1826,Amrut Runwal Group,10 Total Projects,1 Ongoing Projects
1827,Gayatri Builders,2 Total Projects, Ongoing Projects
1828,ABC Associate,2 Total Projects, Ongoing Projects
1829,Nahar Group,38 Total Projects,5 Ongoing Projects
1830,Lunawat Groups,10 Total Projects, Ongoing Projects
1831,Ashoka Developers And Builders,15 Total Projects, Ongoing Projects
1832,Harmony Group,25 Total Projects,2 Ongoing Projects
1833,SRK Group,8 Total Projects,3 Ongoing Projects
1834,Urban Homes Builders,1 Total Projects,1 Ongoing Projects
1835,Ratan Housing,54 Total Projects,10 Ongoing Projects
1836,Rainbow Housing,12 Total Projects,3 Ongoing Projects
1837,Dspn Projects,2 Total Projects, Ongoing Projects
1838,KN Pokar Construction,4 Total Projects,1 Ongoing Projects
1839,Pranav,7 Total Projects, Ongoing Projects
1840,Soba Construction,3 Total Projects, Ongoing Projects
1841,Bhansali Associates,10 Total Projects,1 Ongoing Projects
1842,Aditya Shagun Developers,5 Total Projects,1 Ongoing Projects
1843,Ashish Estates,9 Total Projects, Ongoing Projects
1844,Siddh Developers,1 Total Projects, Ongoing Projects
1845,A P Bhandari,12 Total Projects,2 Ongoing Projects
1846,Vyas Constructions,4 Total Projects,1 Ongoing Projects
1847,Prasun Homes,12 Total Projects,2 Ongoing Projects
1848,Alcon Builders And Promoters,27 Total Projects, Ongoing Projects
1849,Salunkhe,8 Total Projects, Ongoing Projects
1850,AR,30 Total Projects,1 Ongoing Projects
1851,Dharmavat Group,11 Total Projects,3 Ongoing Projects
1852,Om Associates,1 Total Projects,1 Ongoing Projects
1853,Navjeevan Properties,7 Total Projects, Ongoing Projects
1854,Nishant Construction,17 Total Projects,1 Ongoing Projects
1855,Nilesh,14 Total Projects, Ongoing Projects
1856,Atur India,8 Total Projects,1 Ongoing Projects
1857,Swojas Associates,25 Total Projects,7 Ongoing Projects
1858,Reelicon Shelters,9 Total Projects,1 Ongoing Projects
1859,Shree Parshwa Construction,1 Total Projects, Ongoing Projects
1860,Manohar Developers,3 Total Projects,1 Ongoing Projects
1861,Jai Ganesh,1 Total Projects, Ongoing Projects
1862,Arihanta Developers,1 Total Projects, Ongoing Projects
1863,Eden Group Pune,9 Total Projects,1 Ongoing Projects
1864,Pallod Properties,1 Total Projects, Ongoing Projects
1865,Angal Group,13 Total Projects,1 Ongoing Projects
1866,Lotus Promoters,2 Total Projects,1 Ongoing Projects
1867,Cripper Developers,1 Total Projects, Ongoing Projects
1868,Ramesh Builders,8 Total Projects, Ongoing Projects
1869,Swojas Builder,1 Total Projects, Ongoing Projects
1870,Mitula Homes,4 Total Projects, Ongoing Projects
1871,GoldFinger Kataria,1 Total Projects, Ongoing Projects
1872,Om Arihant Developers,1 Total Projects, Ongoing Projects
1873,Tirupati Developers,2 Total Projects, Ongoing Projects
1874,Nirmaan Group,4 Total Projects, Ongoing Projects
1875,Ishwar Parmar Group,8 Total Projects,1 Ongoing Projects
1876,Spark Realty,5 Total Projects, Ongoing Projects
1877,Tejas Pooja Associates,2 Total Projects,1 Ongoing Projects
1878,Venkatesh Oxy Group,13 Total Projects,1 Ongoing Projects
1879,Lotus Group,11 Total Projects,2 Ongoing Projects
1880,Goyal Developers,10 Total Projects,1 Ongoing Projects
1881,Mahalaxmi Developers Mumbai,18 Total Projects,13 Ongoing Projects
1882,Solitaire and Daffodils,2 Total Projects, Ongoing Projects
1883,Vaastu Udyog,4 Total Projects, Ongoing Projects
1884,Lushlife Developers,5 Total Projects, Ongoing Projects
1885,Richa Realtors,6 Total Projects,2 Ongoing Projects
1886,Nirman Buildcon,2 Total Projects, Ongoing Projects
1887,SR Towncon,1 Total Projects, Ongoing Projects
1888,Royal Construction,1 Total Projects, Ongoing Projects
1889,RM Group,3 Total Projects,1 Ongoing Projects
1890,Eminent Spaces,1 Total Projects, Ongoing Projects
1891,Dhartee Infrastructure,1 Total Projects,1 Ongoing Projects
1892,Kalbhor Gawade Builders,1 Total Projects, Ongoing Projects
1893,Yashashri,1 Total Projects, Ongoing Projects
1894,Venkatesh Bhoomi,4 Total Projects,1 Ongoing Projects
1895,Surya Dwelling,2 Total Projects, Ongoing Projects
1896,Sai Chetna Builder,1 Total Projects, Ongoing Projects
1897,Gulmarg Co Housing Society,1 Total Projects, Ongoing Projects
1898,Kapil Builders,3 Total Projects,2 Ongoing Projects
1899,Namo Developers,1 Total Projects,1 Ongoing Projects
1900,Sukhdham Group,1 Total Projects, Ongoing Projects
1901,Gurukripa Associates,2 Total Projects, Ongoing Projects
1902,Shree,11 Total Projects, Ongoing Projects
1903,Gokul Builders,12 Total Projects, Ongoing Projects
1904,Shri Ji,1 Total Projects, Ongoing Projects
1905,Rawat,5 Total Projects,2 Ongoing Projects
1906,I Build Supreme,2 Total Projects, Ongoing Projects
1907,S P Developers,4 Total Projects,1 Ongoing Projects
1908,Tirupati Balaji,5 Total Projects,1 Ongoing Projects
1909,Ami Estates,1 Total Projects,1 Ongoing Projects
1910,Suman Properties,2 Total Projects, Ongoing Projects
1911,Skywards Developers,2 Total Projects, Ongoing Projects
1912,Disha Direct,28 Total Projects,1 Ongoing Projects
1913,Bright Era Builders,4 Total Projects, Ongoing Projects
1914,Global Developers,5 Total Projects,6 Ongoing Projects
1915,Suratwala Housing,1 Total Projects, Ongoing Projects
1916,Calyx Constructions,40 Total Projects,18 Ongoing Projects
1917,Gauree Space,3 Total Projects,1 Ongoing Projects
1918,Chandrarang Developers,22 Total Projects,2 Ongoing Projects
1919,Safal Homes,4 Total Projects,1 Ongoing Projects
1920,KBD Group,9 Total Projects,7 Ongoing Projects
1921,Pinnacle Group,20 Total Projects,10 Ongoing Projects
1922,Chintan Builder,2 Total Projects, Ongoing Projects
1923,Bokhara,2 Total Projects,1 Ongoing Projects
1924,Aasmi Group,2 Total Projects,1 Ongoing Projects
1925,Royal Star Group,4 Total Projects, Ongoing Projects
1926,Shree Ganadhiraj Group,5 Total Projects, Ongoing Projects
1927,Brikone Properties,1 Total Projects, Ongoing Projects
1928,Purandar Promoters And Builders,,
1929,Om Balaji Group,2 Total Projects, Ongoing Projects
1930,Yash Promoters,4 Total Projects, Ongoing Projects
1931,Dolphin Group,16 Total Projects,4 Ongoing Projects
1932,Divine Group,36 Total Projects,2 Ongoing Projects
1933,Briskband Associates,,
1934,Siddh Housing,,
1935,Motideep Housing,1 Total Projects, Ongoing Projects
1936,Prestige Developers Moshi,,
1937,Concord Spaces,5 Total Projects, Ongoing Projects
1938,Shah Promoters,7 Total Projects, Ongoing Projects
1939,A Square Properties Pune,,
1940,Shree Ganesh Constructions Pune,,
1941,M D Developers Pune,,
1942,Austin Group Pune,,
1943,Moraya Landmarks,,
1944,Janki Construction,1 Total Projects, Ongoing Projects
1945,S And S Enterprises,,
1946,Azalea Group,1 Total Projects, Ongoing Projects
1947,V R Kulkarni And Associates,,
1948,HNK Buildtech,,
1949,Neeraj Builder,1 Total Projects, Ongoing Projects
1950,Narayani Developers Nashik,,
1951,K R Realty,,
1952,Ams Landmarks,,
1953,Patel Group Pune,1 Total Projects, Ongoing Projects
1954,Suraj Realty,2 Total Projects, Ongoing Projects
1955,Anand Enterprises,1 Total Projects, Ongoing Projects
1956,Sagar Developers,,
1957,Arihant Developers Pune,1 Total Projects, Ongoing Projects
1958,Ashok Ramjibhai Rathod,,
1959,Sadguru Enterprises,,
1960,Yash Associates Pune,,
1961,Gharkul Properties,1 Total Projects, Ongoing Projects
1962,Sai Samarth Developers,3 Total Projects,1 Ongoing Projects
1963,Sai Mangalya Developers,,
1964,Guruvista AOP Builder And Developers,,
1965,Galaxy Associates Pune,,
1966,Shree Rahul Associates,,
1967,Tricon Builderss,,
1968,Girnar Projects Private Limited,,
1969,Shreehari Construction,,
1970,Dee Bee Pee Realities,,
1971,Anand Group Builders And Developers,,
1972,Mangaldeep Associates,,
1973,Prasanna Developers Kolhapur,,
1974,Gund And Pethe Associates,2 Total Projects, Ongoing Projects
1975,Taradatta Associates,,
1976,Orchid Developers,5 Total Projects, Ongoing Projects
1977,Swamiraj Creators,,
1978,Blue Skky,4 Total Projects, Ongoing Projects
1979,Ghule Patil Developers,,
1980,Chamadia Landmark,3 Total Projects, Ongoing Projects
1981,Synergy Farms,7 Total Projects, Ongoing Projects
1982,SLP Group,2 Total Projects, Ongoing Projects
1983,Tyagi Properties,7 Total Projects, Ongoing Projects
1984,Yash,2 Total Projects, Ongoing Projects
1985,Tejas,2 Total Projects, Ongoing Projects
1986,Grand Shelters,1 Total Projects, Ongoing Projects
1987,Rasa Realty,3 Total Projects, Ongoing Projects
1988,New Front Group,18 Total Projects,9 Ongoing Projects
1989,Regal,3 Total Projects, Ongoing Projects
1990,Shree Devi Group,7 Total Projects,3 Ongoing Projects
1991,panchavati Developers,2 Total Projects,1 Ongoing Projects
1992,Nandgude Patil,3 Total Projects,1 Ongoing Projects
1993,Pushpganga Properties,6 Total Projects, Ongoing Projects
1994,Mainland,3 Total Projects,1 Ongoing Projects
1995,Naren Group,3 Total Projects,1 Ongoing Projects
1996,Solitaire Builders,8 Total Projects,1 Ongoing Projects
1997,Navalakha Group,4 Total Projects, Ongoing Projects
1998,Green House,3 Total Projects, Ongoing Projects
1999,Winsome Group,2 Total Projects, Ongoing Projects
2000,Shree Swami Constructions,1 Total Projects, Ongoing Projects
2001,Fortune Properties,3 Total Projects,1 Ongoing Projects
2002,Samarth Group,3 Total Projects, Ongoing Projects
2003,Shriram Developers,8 Total Projects,1 Ongoing Projects
2004,Shekhar Developers, Total Projects, Ongoing Projects
2005,Abhiman Associates,5 Total Projects,1 Ongoing Projects
2006,Ashapura Promoters,1 Total Projects, Ongoing Projects
2007,Shri Krishna Developers,4 Total Projects,1 Ongoing Projects
2008,Shreyas Aditya Properties,1 Total Projects, Ongoing Projects
2009,Aryavedant Promoters,4 Total Projects,3 Ongoing Projects
2010,Global Properties,1 Total Projects, Ongoing Projects
2011,Revspark,2 Total Projects, Ongoing Projects
